Print stack
925410 403239 true
846611 846356 true
239512 801450 true
705863 739593 true
770954 481750 false
66159 765580 true
731834 497073 true
780281 590733 false
704132 953866 true
689334 455244 true
939992 415842 true
39884 474842 true
837606 239452 true
370439 608739 true
701469 135769 false
Print BST in inorder
39884 474842 true
66159 765580 true
239512 801450 true
370439 608739 true
689334 455244 true
701469 135769 false
704132 953866 true
705863 739593 true
731834 497073 true
770954 481750 false
780281 590733 false
837606 239452 true
846611 846356 true
925410 403239 true
939992 415842 true
Print BST in preorder
939992 415842 true
837606 239452 true
780281 590733 false
689334 455244 true
370439 608739 true
239512 801450 true
66159 765580 true
39884 474842 true
701469 135769 false
704132 953866 true
731834 497073 true
705863 739593 true
770954 481750 false
846611 846356 true
925410 403239 true
