Print stack
482744 251059 false
399189 284255 true
699989 623894 true
217354 235305 true
252986 991124 false
181405 234799 true
316286 862050 true
859802 539115 true
706626 823661 false
17579 898462 false
194426 143623 false
986482 440907 false
192427 404330 true
712496 725764 true
467112 624959 false
Print BST in inorder
17579 898462 false
181405 234799 true
192427 404330 true
194426 143623 false
217354 235305 true
252986 991124 false
316286 862050 true
399189 284255 true
467112 624959 false
482744 251059 false
699989 623894 true
706626 823661 false
712496 725764 true
859802 539115 true
986482 440907 false
Print BST in preorder
986482 440907 false
712496 725764 true
706626 823661 false
467112 624959 false
252986 991124 false
194426 143623 false
181405 234799 true
17579 898462 false
192427 404330 true
217354 235305 true
316286 862050 true
399189 284255 true
699989 623894 true
482744 251059 false
859802 539115 true

