Print stack
308056 44633 true
737011 166566 false
893957 539689 true
460512 266374 true
460743 283323 true
493479 980117 true
90650 250050 true
607420 220437 false
876562 266415 true
489554 570981 true
750586 550182 false
483311 75528 false
657672 120481 true
358907 270013 true
409101 258556 true
Print BST in inorder
90650 250050 true
308056 44633 true
358907 270013 true
409101 258556 true
460512 266374 true
460743 283323 true
483311 75528 false
489554 570981 true
493479 980117 true
607420 220437 false
657672 120481 true
737011 166566 false
750586 550182 false
876562 266415 true
893957 539689 true
Print BST in preorder
876562 266415 true
657672 120481 true
483311 75528 false
358907 270013 true
90650 250050 true
308056 44633 true
460512 266374 true
409101 258556 true
460743 283323 true
489554 570981 true
607420 220437 false
493479 980117 true
750586 550182 false
737011 166566 false
893957 539689 true

