Print stack
676534 573501 true
334038 793114 false
568456 623712 true
614627 194942 false
991940 583744 true
785075 778732 true
105571 133546 false
551643 555282 false
157417 14198 true
305722 670653 true
653108 687681 true
499878 664498 true
871683 195670 true
965104 664365 true
833049 352058 true
Print BST in inorder
105571 133546 false
157417 14198 true
305722 670653 true
334038 793114 false
499878 664498 true
551643 555282 false
568456 623712 true
614627 194942 false
653108 687681 true
676534 573501 true
785075 778732 true
833049 352058 true
871683 195670 true
965104 664365 true
991940 583744 true
Print BST in preorder
965104 664365 true
833049 352058 true
785075 778732 true
653108 687681 true
499878 664498 true
105571 133546 false
305722 670653 true
157417 14198 true
334038 793114 false
551643 555282 false
614627 194942 false
568456 623712 true
676534 573501 true
871683 195670 true
991940 583744 true
