Print stack
669588 966527 false
575664 829109 false
577593 313742 false
313816 886375 true
540473 767352 true
316213 400661 false
977323 175136 false
163937 578888 true
97490 908571 true
249431 436485 true
456382 526338 false
281319 787714 false
632062 635214 true
684259 529156 true
227525 861111 true
Print BST in inorder
97490 908571 true
163937 578888 true
227525 861111 true
249431 436485 true
281319 787714 false
313816 886375 true
316213 400661 false
456382 526338 false
540473 767352 true
575664 829109 false
577593 313742 false
632062 635214 true
669588 966527 false
684259 529156 true
977323 175136 false
Print BST in preorder
977323 175136 false
684259 529156 true
632062 635214 true
540473 767352 true
456382 526338 false
281319 787714 false
249431 436485 true
97490 908571 true
227525 861111 true
163937 578888 true
316213 400661 false
313816 886375 true
577593 313742 false
575664 829109 false
669588 966527 false
