Print stack
770821 273746 true
152448 65203 true
73032 625891 true
429332 575709 true
36894 45756 true
801657 310652 true
226709 741780 true
712815 830458 false
722115 933628 false
900391 326725 true
183792 564509 true
834979 750034 true
755944 726282 true
339606 36326 true
32231 343199 false
Print BST in inorder
32231 343199 false
36894 45756 true
73032 625891 true
152448 65203 true
183792 564509 true
226709 741780 true
339606 36326 true
429332 575709 true
712815 830458 false
722115 933628 false
755944 726282 true
770821 273746 true
801657 310652 true
834979 750034 true
900391 326725 true
Print BST in preorder
801657 310652 true
755944 726282 true
712815 830458 false
429332 575709 true
339606 36326 true
32231 343199 false
183792 564509 true
36894 45756 true
73032 625891 true
152448 65203 true
226709 741780 true
722115 933628 false
770821 273746 true
834979 750034 true
900391 326725 true
